Li:1-S:1-X:1	Li:H	1096:1124	1931:1710
C:8-H:14-O:1-X:3	C:O	7000:2304	1740:1792
C:6-H:4-Cl:2-O:3-S:1-X:1	C:O	1929:11230	1850:1821
C:1-H:3-As:1-X:2	Cl:I	6960:7092	1977:1845
C:8-H:14-O:1-X:4	O:H	5269:5263	1804:1883
C:21-H:20-N:2-X:2	N:C	10159:8436	1762:1968
C:7-H:9-N:1-O:3-X:1	C:S	4873:8843	1965:1726
C:9-H:16-O:4-X:4	C:H	11258:9207	1927:1893
C:2-H:2-Cl:1-X:1	H:Cl:Br	2260:2804:9228	1769:1917:1924
Th:1-X:2	O:S	1635:1575	1715:1759
H:1-O:3-X:1	I:N:Sb:Bi:P:S:W:Br:Cl:C	475:2:4721:3972:2069:11013:6550:1161:99:993	1839:1815:1839:1806:1904:1836:1920:1826:1952:1751
C:2-H:2-Cl:1-X:3	H:Cl	1071:2549	1704:1888
I:1-Na:2-O:6-X:3	Na:H	2332:1976	1723:1833
C:3-H:9-S:1-X:1	Sb:I:P	5561:9663:8003	1914:1952:1930
C:8-H:10-O:4-X:1	S:C	10632:4040	1821:1707
C:8-H:10-O:4-X:2	C:H	4746:3158	1730:1768
C:3-H:8-O:7-X:2	C:S	11090:11083	1849:1935
Br:2-H:13-N:4-O:1-Pt:1-X:1	Cl:Br	9953:9988	1883:1910
C:8-H:10-O:4-X:4	O:C:H	7996:3880:2304	1727:1909:1792
C:12-Co:2-N:12-X:3	Fe:Cu:Co:Ni:Mn	2064:2128:4282:4334:2136	1922:1929:1737:1802:1949
C:9-H:15-X:1	N:H	6698:3098	1908:1959
K:3-X:1	P:As	281:282	1934:1989
C:11-H:10-O:2-X:1	C:O	10593:5714	1996:1826
C:11-H:10-O:2-X:2	C:H	3918:2931	1905:1898
Ba:3-O:6-X:2	Sb:As	387:1663	1737:1715
C:6-H:6-N:1-X:1	H:Cl:I:Br	1257:4061:4720:4075	1769:1807:1787:1954
K:2-O:2-S:4-X:4	H:O	10480:3246	1805:1920
Mg:4-O:8-P:2-X:2	Cl:F	8737:8738	1703:1888
Ag:2-O:3-X:1	Se:C:S	4279:1260:3471	1845:1977:1822
H:16-O:21-Zn:1-X:4	Mo:W	10448:7888	1921:1789
W:1-Zn:1-X:4	S:O	1167:7777	1824:1914
C:18-H:13-Cl:4-N:6-X:3	Br:Cl	10742:10741	1951:1999
C:6-H:6-N:1-X:9	N:H	2155:5130	1969:1991
O:3-Ti:1-X:1	Ca:Mn:Mg:Fe:Ti	8579:8954:8965:1772:4275	1904:1972:1736:1763:1770
Cl:6-K:2-X:1	Ir:Os:Pd:Pt	435:1410:1401:125	1951:1823:1986:1904
O:3-Ti:1-X:2	K:H	9016:8658	1725:1886
C:7-H:7-N:1-S:1-X:4	C:O	7079:6999	1991:1859
Cl:2-O:3-S:2-X:2	O:Cl	2595:5001	1781:1970
Br:4-X:1	Ir:Mn:Mo:Se:Si:Sn:Te:Ti	9420:9397:7798:9758:1837:10201:2164:6472	1933:1919:1777:1714:1956:1943:1944:1914
C:3-H:5-X:1	H:Br:Cl:I:N	5030:6261:7105:5876:2191	1861:1932:1816:1794:1977
Br:4-X:2	C:Tl	1625:9126	1946:1740
C:3-H:5-X:3	H:Br:Cl	9551:6646:6691	1772:1727:1731
C:12-H:38-O:28-X:3	Ni:Co	3673:3533	1834:1765
Be:1-O:3-X:1	Si:Te:Zr:C	5208:2106:490:3164	1721:1784:1998:1883
C:4-N:4-Pt:1-S:4-X:1	Pb:Ba:Cu	6129:6119:6085	1761:1880:1909
C:4-N:4-Pt:1-S:4-X:2	Ag:K:H	6128:5805:5880	1790:1800:1733
Fe:3-H:16-O:16-X:2	P:As	1972:9851	1704:1730
C:16-H:40-P:2-Zn:1-X:4	I:Cl	8330:7788	1938:1703
H:4-Mg:1-O:6-X:1	S:Mo	3909:5649	1890:1888
C:19-H:32-O:3-X:1	S:O	5299:4083	1837:1993
C:4-H:9-O:2-X:1	Cl:N:Br:H	8530:8169:8810:6366	1766:1811:1738:1806
Bi:2-O:3-X:1	O:S	3922:5864	1979:1701
O:3-S:1-X:1	Se:Sr:Ca:Zn:Ba:Cu:Co:Pb:O:Mg:Cd:Fe:H:Mn:Hg:Ni:Os:S	1309:742:1087:3466:276:10829:8996:111:984:3163:3523:1279:11013:9361:5366:3472:1424:35	1733:1916:1967:1838:1964:1998:1712:1726:1868:1759:1861:1985:1836:1730:1789:1942:1709:1715
C:9-H:12-O:5-S:1-X:2	N:H	2424:2933	1891:1721
O:3-S:1-X:2	Bi:K:H:Na:Ag:Hg	5864:106:1387:51:3471:3491	1701:1954:1820:1836:1822:1837
C:15-H:13-N:3-X:4	H:O	5301:10704	1938:1995
C:2-H:10-N:2-O:4-X:1	C:O	9366:326	1835:1814
C:9-H:12-N:1-O:3-X:3	H:N	8556:9256	1785:1837
Cl:1-H:1-O:3-X:1	S:O	5578:511	1905:1807
C:11-H:10-N:2-X:1	O:C	6739:4076	1978:1923
C:5-H:13-O:3-X:1	P:B:N	4207:10510:8461	1914:1734:1706
C:4-H:7-Na:1-O:3-X:4	C:O	11310:166	1916:1853
C:12-H:16-O:2-X:2	C:H	3651:10686	1895:1734
K:1-Mg:1-O:4-X:1	As:P	4822:4737	1903:1761
C:12-H:16-O:2-X:4	C:O	5956:3704	1736:1983
C:5-H:2-O:3-X:2	O:H	8421:600	1988:1758
C:10-H:22-O:4-X:2	O:C	8613:3851	1988:1883
C:12-H:16-O:2-X:6	C:H:O	4889:8180:8853	1802:1974:1701
S:2-X:1	Ca:Mo:Ir:Nb:C:Mn:Ru:Co:Pt:Os:U:W:Fe:Si:Sn:Ta:Te:Th:Ti	1181:1138:476:4137:77:7440:4094:1141:153:1443:8643:787:109:945:552:556:1108:1575:780	1845:1973:1921:1867:1943:1872:1943:1741:1871:1731:1999:1711:1787:1730:1938:1876:1719:1759:1830
S:2-X:2	Na:Br:Cl:Tl:As:K:Sb	8929:1135:574:10491:186:820:2124	1985:1769:1844:1766:1779:1987:1925
C:5-H:2-O:3-X:6	H:Cl	9743:4433	1853:1961
C:6-H:7-N:2-O:2-X:1	N:Cl:H	5755:10720:10176	1773:1843:1993
C:4-H:4-Fe:1-O:7-X:1	Rb:K	8671:2888	1891:1722
C:7-H:8-N:1-O:2-X:1	H:N	2840:6424	1744:1915
S:2-X:6	S:O	426:1246	1754:1882
Te:1-X:1	Cu:Be:Hg:O:Cd	7748:1469:1115:2062:6498	1799:1793:1710:1708:1828
C:3-H:8-N:2-O:2-X:2	H:C	10717:9352	1978:1952
Te:1-X:2	Na:H:O:Br:Cl:K:Ag:S	315:310:311:2172:1836:316:1675:1108	1961:1983:1920:1861:1997:1735:1794:1719
Te:1-X:3	S:O	1143:1953	1770:1769
C:4-H:9-N:1-O:2-X:2	N:O:C:H	4460:2082:10171:8536	1984:1832:1727:1712
Te:1-X:4	F:O:I:Br:Cl	2187:2036:2033:2164:1838	1911:1966:1813:1944:1910
C:2-H:4-O:6-Sr:1-X:2	H:C	5317:3436	1800:1818
C:4-H:9-N:1-O:2-X:4	O:C	1407:7717	1864:1893
C:3-H:5-K:1-O:1-X:2	O:S	2959:857	1771:1964
C:12-H:12-O:5-X:2	C:H	6219:3854	1772:1788
C:3-H:9-P:1-X:1	Se:O:S	6653:6687:8003	1729:1986:1930
C:4-H:3-Br:1-O:2-X:2	H:O	8371:7984	1848:1830
C:16-H:12-O:3-X:2	N:O	3103:9259	1743:1927
Cu:1-O:3-X:1	Te:S:C	2131:10829:21	1768:1998:1822
H:3-X:1	N:P:As:Bi:Sb	144:244:128:3458:2459	1843:1805:1832:1709:1773
C:10-H:10-N:2-O:1-X:2	C:H	4078:8074	1740:1727
C:9-H:6-O:3-X:1	C:O	9373:5775	1798:1864
Hg:3-O:4-S:1-X:2	O:S	2606:9048	1896:1791
C:2-H:1-Br:1-O:1-X:2	Br:H	1848:6173	1791:1864
As:1-Bi:1-X:4	O:S	10822:1192	1731:1765
C:3-Cl:4-X:4	Cl:H	5075:9529	1887:1921
C:13-H:9-O:2-X:1	Cl:H	4034:3918	1993:1905
C:8-H:9-O:5-X:5	N:H	9321:5269	1986:1804
C:4-H:8-Hg:1-S:2-X:2	Cl:H	8903:8130	1889:1748
C:12-H:8-N:2-O:2-X:2	H:O	8427:8413	1768:1811
K:2-S:1-X:3	O:S	106:821	1954:1759
C:6-H:5-N:1-O:6-X:1	S:C	10635:5520	1995:1911
K:2-S:1-X:4	O:S	465:816	1744:1718
C:2-Hg:2-O:2-X:2	N:O	841:2432	1841:1880
I:3-X:1	Pt:Sb:Tl:Al:Hg:H:As:Bi:B:Au:N:P:Fe	1889:7676:9667:6779:2619:3521:1526:1937:1518:2436:457:1243:9371	1861:1733:1769:1908:1875:1857:1760:1888:1952:1704:1780:1756:1989
C:16-H:12-N:1-O:4-X:1	N:H	3107:9622	1789:1866
Cl:1-O:3-S:1-X:1	Na:H:K	5774:5578:2331	1734:1905:1749
Ca:1-Cl:1-O:1-X:1	Cl:H	715:4821	1795:1854
C:5-H:9-Cl:1-X:1	O:C	9327:9944	1984:1760
C:5-H:9-Cl:1-X:2	O:H	7083:3837	1732:1975
C:5-H:9-Cl:1-X:3	O:C	8021:10086	1896:1935
Na:4-O:7-X:2	Sb:P:As	10892:1642:1612	1718:1898:1899
C:9-H:8-Cl:1-O:3-X:1	H:Cl:N	11225:4890:8437	1720:1760:1725
C:8-H:10-Br:2-O:4-X:2	C:H	8075:8375	1982:1950
C:9-H:13-N:1-X:4	C:H	9249:11109	1995:1833
C:1-H:10-N:2-X:4	C:O	5908:131	1968:1777
C:2-H:4-Cu:1-O:6-X:2	S:H:C	8897:415:3819	1807:1743:1880
C:3-H:9-O:1-X:1	As:Sb:P	7264:5560:6687	1915:1859:1986
C:7-H:6-S:1-X:1	O:S	10802:1923	1788:1826
C:9-H:13-O:1-X:1	N:H	5343:4884	1915:1807
C:7-H:6-Cl:1-O:2-X:1	N:H	10196:4027	1722:1798
H:12-N:6-O:6-Pt:1-X:2	Cl:H:I:Br	2622:5050:9829:9940	1736:1972:1871:1909
H:12-N:6-O:6-Pt:1-X:4	H:O	9162:7948	1731:1958
C:5-H:10-Cl:1-O:1-X:1	H:Cl:Br	2678:9528:8002	1799:1876:1900
C:12-H:8-Br:2-X:2	C:N	11144:9719	1781:1731
H:14-O:19-Pt:1-S:4-X:6	K:Na	9926:9920	1934:1912
C:3-H:5-O:4-X:1	N:H	9165:6957	1770:1996
C:6-H:12-O:3-X:1	O:C	8574:9731	1819:1740
C:6-H:12-O:3-X:2	O:H	5295:9194	1916:1916
C:6-H:12-O:3-X:4	O:N:C	8374:10005:4038	1776:1791:1780
C:6-H:6-N:2-O:1-X:2	H:O:C	11320:4918:2980	1966:1804:1757
O:3-Te:1-X:1	Cu:Be:Ba:O:Mg:Hg:Cd	2131:2106:2076:2036:2084:1980:6549	1768:1784:1952:1966:1820:1957:1801
C:7-H:7-N:1-O:1-X:1	C:O	3855:3140	1773:1955
O:3-Te:1-X:2	Hg:K:H:Na	1983:2059:2087:1136	1769:1844:1741:1996
Cl:1-Na:1-O:1-X:1	O:S	1960:2338	1861:1772
C:7-H:7-N:1-O:1-X:2	C:O:H	5529:4858:4912	1770:1833:1965
C:2-H:6-Fe:1-O:4-X:2	C:O	8519:8645	1994:1918
C:2-Hg:2-N:2-X:2	O:S	841:807	1841:1970
Hg:2-S:3-X:1	C:Te	1035:1152	1971:1855
C:4-H:10-Cu:1-O:8-X:2	C:Cu:S	8358:4240:2229	1846:1933:1972
C:18-H:32-Br:1-O:3-X:1	H:Br	10575:10576	1700:1927
C:8-H:20-O:1-P:1-X:1	Cl:H	7654:6759	1745:1859
Cl:6-H:2-X:1	Ir:Pd:Pt	472:1461:427	1794:1975:1995
C:4-H:7-N:1-O:2-S:1-X:1	O:C	10042:9581	1953:1814
C:1-H:1-Cl:3-O:2-X:1	S:C	4025:2853	1807:1778
C:3-Cl:1-N:3-X:2	Cl:O	1398:5514	1744:1894
Li:1-O:1-X:1	Li:H:Cl	1754:734:2054	1809:1700:1947
C:8-H:6-O:2-X:1	C:O	3424:1946	1930:1729
C:7-H:9-O:4-X:1	H:Ag	3155:3123	1916:1799
C:8-H:6-O:2-X:2	H:Br:N:O	2197:11208:9750:1925	1812:1891:1911:1783
H:4-O:5-Se:1-X:1	Ni:Zn:Mn:Cu	4810:4986:4814:664	1961:1889:1722:1889
C:2-H:12-N:6-S:2-X:1	Ni:Co	3212:3413	1722:1811
Na:2-O:7-Sb:2-X:2	H:Na	793:10892	1976:1718
H:2-I:1-O:6-X:3	Na:H	10304:2182	1796:1838
C:2-H:5-O:3-S:1-X:1	Cl:H	8401:2917	1775:1748
As:2-H:4-O:7-X:2	Mg:Ba	8313:4964	1936:1995
C:6-H:4-N:1-O:5-X:1	N:H	2982:8051	1913:1955
C:12-H:22-O:12-S:2-X:1	Fe:Cu	8119:8137	1996:1828
F:3-X:1	Cr:Al:Fe:Mo:As:Sb:Ti:B:Au:P	2060:6277:908:1109:986:982:8604:291:4161:1259	1902:1969:1899:1753:1980:1993:1912:1831:1849:1935
H:9-O:10-U:1-X:1	P:As	4541:4531	1879:1889
Fe:2-O:6-X:1	Cr:S	7407:922	1707:1928
P:3-S:2-X:1	Zn:P	3598:3561	1999:1709
O:3-P:1-X:1	K:Tl:O:Na:H:Cr:Hg:P	1975:9435:2174:2042:2069:1302:4329:638	1724:1861:1892:1751:1904:1835:1954:1804
C:17-H:34-O:2-X:1	C:O	1920:10061	1782:1859
O:3-P:1-X:3	K:H	5588:127	1952:1734
C:4-H:2-N:2-X:4	H:O	2964:612	1721:1983
I:1-O:4-X:1	Na:H:I:N:K:Ag	1962:2028:3729:3786:1964:1981	1804:1713:1777:1989:1943:1979
C:9-H:9-N:2-O:4-X:1	H:Br	4870:11261	1869:1769
Na:1-O:4-X:1	I:Cl	1962:3119	1804:1864
As:1-O:4-Tl:2-X:1	H:Tl	9411:9408	1828:1721
C:2-H:2-I:1-O:2-X:1	I:H	8014:7269	1771:1982
C:7-H:14-Cl:1-X:1	Cl:H	6652:8773	1715:1859
Ta:1-X:5	Br:Cl	6485:4237	1860:1967
C:6-H:15-Se:1-X:1	P:Sb	6657:5095	1986:1717
C:6-H:2-Cl:2-O:2-X:2	O:H:Cl	3088:4872:4860	1828:1805:1780
P:2-X:1	S:Ir:H:Pd:Pt:Se:Zn:Cd	3596:4763:3728:4779:4755:8975:6280:7771	1976:1918:1773:1877:1942:1990:1797:1959
C:1-H:2-Cl:1-O:3-S:1-X:1	Cl:H	4024:4023	1992:1748
P:2-X:3	Se:Pb:Ca:Zn:Cu:S:Co:Mg:Cd:H:O	8969:1871:579:4740:1119:8205:1874:10295:7799:7781:638	1710:1753:1890:1702:1941:1904:1799:1737:1789:1832:1804
P:2-X:4	H:I	1858:4940	1899:1728
C:3-H:3-Cl:3-X:2	Cl:O:H	9564:4222:6691	1715:1911:1731
H:12-N:6-O:8-P:4-X:1	Fe:Ba	9850:9893	1701:1790
P:2-X:5	Se:O:S	651:570:1628	1843:1907:1790
C:6-H:3-Br:3-O:2-X:1	O:C	6213:8090	1905:1971
C:7-H:4-Br:1-O:4-X:1	H:N	10647:10640	1945:1875
C:4-H:8-N:1-O:1-X:1	N:H	6702:4726	1771:1966
H:1-I:3-X:1	Si:Hg:C:O	6533:1316:874:8237	1811:1798:1951:1714
C:10-H:8-O:5-X:4	H:C	9675:5079	1867:1807
C:8-H:7-Br:1-X:2	H:O:C	10068:3923:2268	1856:1952:1851
C:10-H:14-O:4-X:1	C:S	4667:6747	1814:1876
C:10-H:14-O:4-X:2	O:C:H	2564:1926:8	1977:1717:1968
Cl:2-O:4-X:1	Pb:Ba:Ca:Sr	3563:3475:7103:3564	1935:1977:1889:1968
C:4-H:4-Hg:1-O:4-X:2	O:H	1803:1226	1890:1728
H:8-I:6-N:2-X:1	Os:Te	4576:2134	1878:1779
H:8-N:2-O:6-S:2-X:1	O:Hg:S:Pt:Fe:Cd	2317:5381:4952:1621:949:5657	1731:1867:1955:1742:1702:1949
C:10-H:14-O:4-X:4	C:H	6819:2680	1735:1926
C:2-H:5-O:3-X:1	N:S	4400:11127	1728:1707
C:15-H:30-X:1	C:O	10524:4848	1818:1955
C:14-H:9-N:3-O:4-X:2	H:Ag	7633:7828	1845:1704
F:3-H:6-N:1-O:3-X:1	W:Mo	8687:10452	1770:1847
O:8-Th:1-X:2	S:Mo	1577:8620	1958:1871
C:3-H:2-O:1-X:4	Cl:O:H	4421:2007:300	1911:1825:1903
C:12-H:9-N:1-X:4	H:O	6428:6420	1939:1754
C:12-H:24-X:3	O:C	10054:4439	1908:1837
C:10-H:20-N:1-O:1-X:1	I:H	9676:5345	1784:1847
Br:1-P:1-X:4	H:Br	577:1121	1715:1731
C:4-H:10-O:8-S:2-X:1	Ba:Cu	3122:2229	1844:1972
C:6-H:5-O:2-S:1-X:1	H:Br:Cl	8171:10793:3150	1797:1710:1896
C:14-H:10-O:5-X:2	H:N	6219:9233	1772:1857
C:3-H:6-O:2-S:1-X:2	O:H	6668:8381	1975:1703
C:10-H:9-N:1-O:1-X:1	C:O	6995:707	1970:1759
C:3-H:6-O:2-S:1-X:3	C:O	8171:6389	1797:1762
C:15-H:12-N:2-O:2-X:1	C:O	1381:4043	1850:1876
Cl:1-H:4-N:1-O:3-X:1	O:Cr	1767:1987	1856:1956
C:6-Br:1-X:5	Br:H	10085:2713	1718:1925
H:4-O:7-U:1-X:1	S:Se	3329:683	1861:1827
O:2-X:1	Ca:Mo:N:Cu:Mg:Ir:Os:Pb:Pt:Cr:Ru:Sb:Se:Si:Sn:Te:Th:Ti:Tl:C:Zr:Ce:S:U:W:Mn:Co:Ni:O:Cl:Ba	8580:1085:298:648:9739:1408:1421:248:1958:621:4093:2886:610:990:42:311:1635:177:10486:66:503:7722:30:3429:342:601:1284:1269:3683:92:252	1812:1727:1810:1728:1809:1890:1743:1743:1763:1828:1741:1858:1876:1926:1795:1920:1715:1710:1733:1859:1764:1778:1876:1852:1834:1829:1835:1824:1900:1707:1994
O:2-X:2	N:Na:H:Li:K:Ag	8202:312:595:1406:2988:1557	1942:1887:1901:1777:1946:1832
C:6-H:1-Cl:1-N:1-O:2-X:3	Cl:H	11154:8533	1711:1976
C:7-H:6-O:1-X:1	O:S	1535:10802	1953:1788
C:6-H:9-O:3-X:1	Na:N:H	8899:10724:8884	1978:1824:1817
C:7-H:6-O:1-X:2	H:Br:O:Cl	1950:3652:2850:4868	1898:1920:1776:1768
C:6-H:9-O:3-X:3	N:H	4483:2297	1895:1729
C:6-H:3-Br:3-N:2-X:2	O:H:Br	9265:10181:10185	1887:1784:1842
Co:1-K:4-O:16-S:4-X:1	Mg:Ni	6148:6150	1804:1728
Ag:2-S:2-X:3	O:S	708:8252	1905:1843
C:8-H:12-Pb:1-X:8	H:O	5740:2946	1769:1735
C:10-H:18-O:1-X:2	H:O	2809:5362	1725:1839
C:24-H:24-N:2-X:3	C:O	3395:4066	1816:1809
Cl:6-O:1-X:2	Si:C	11311:2919	1710:1964
S:2-Tl:1-X:1	As:Tl	10836:10491	1895:1766
C:2-Au:1-N:2-S:2-X:1	K:Ag	9459:9457	1963:1905
C:10-H:18-O:1-X:4	H:O	6369:10571	1882:1733
C:16-H:10-N:1-O:2-X:1	N:H	4:2974	1919:1833
C:7-H:4-Br:2-X:2	H:O	9599:10092	1769:1842
C:3-H:4-N:1-O:4-X:1	H:N	9165:2679	1770:1896
C:13-H:6-Cl:2-O:1-X:2	H:Cl	2812:2818	1973:1913
C:6-H:5-O:6-X:1	O:H	3089:2912	1781:1881
C:2-H:5-N:3-X:2	O:H	13:5906	1940:1827
C:6-H:13-Cl:1-X:1	C:O	6697:2668	1740:1735
H:1-O:3-Se:1-X:1	Tl:K:Na:H	9142:678:618:663	1896:1947:1888:1807
C:8-H:5-Cl:1-O:3-X:2	H:C	3379:2932	1802:1980
C:9-H:8-N:2-O:3-X:2	H:O	7303:5139	1998:1771
C:7-H:11-N:3-X:3	C:O	9649:5080	1986:1767
C:9-H:8-N:2-O:3-X:3	C:O	4880:6419	1787:1709
C:23-H:17-N:2-X:3	N:H	6440:8436	1874:1968
C:9-H:8-N:2-O:3-X:4	O:H	6749:10672	1717:1910
Hg:2-O:3-X:1	Se:Te:C:S	628:1983:516:3491	1950:1769:1742:1837
Hg:2-O:3-X:2	N:K	1130:9401	1879:1817
H:4-O:5-X:1	Mo:S:U:W	5790:6038:3241:2340	1773:1706:1834:1830
H:4-O:5-X:2	Sb:Cr	3752:7118	1787:1772
C:6-H:15-Sb:1-X:1	S:O:Se	5120:5094:5095	1857:1859:1717
Br:1-O:1-X:1	Bi:H:K:N:As:Ag:Br	7414:7313:1405:7703:7204:2241:8236	1832:1831:1743:1803:1852:1904:1778
C:14-H:10-Cu:1-N:2-O:4-X:2	H:Cl	11037:10898	1729:1892
C:6-H:15-Sb:1-X:2	I:Br:Cl	5115:5121:5116	1965:1929:1711
C:14-H:14-O:2-X:2	C:H:S:O	11169:3651:9613:6819	1916:1895:1844:1735
C:6-H:3-Cl:1-O:2-X:2	H:Cl	3896:4869	1915:1898
C:7-H:11-O:3-X:3	N:H	5080:7583	1767:1763
Au:2-Cl:8-H:16-O:8-X:1	Mn:Ni	1600:1601	1822:1890
C:12-H:20-O:4-X:3	C:O	9656:9226	1902:1792
C:6-H:11-Cl:1-O:1-X:2	H:O	2668:9535	1735:1701
C:11-H:11-N:1-O:3-X:2	Cl:H	8448:5954	1807:1775
C:10-H:11-O:1-X:1	Cl:H	4654:3153	1826:1721
N:2-X:1	O:P:V:W	104:6586:10873:4941	1713:1769:1947:1895
N:2-X:2	O:C	8202:531	1942:1845
O:4-Sr:1-X:1	S:W:Sn:Cr	429:2311:7229:334	1788:1918:1817:1805
C:10-H:11-O:1-X:3	Br:H:Cl	3392:3086:6746	1736:1766:1951
C:11-H:13-O:4-X:1	H:N	4667:11155	1814:1708
N:2-X:3	Hg:O:Ca:Zn:Mg	3005:555:9413:6853:8257	1795:1870:1916:1949:1789
O:4-Sr:1-X:2	C:N:Cl	6763:4778:3564	1897:1990:1968
C:6-N:6-Zn:2-X:1	Ba:Fe	2537:4470	1805:1811
N:2-X:5	Fe:O	7784:1389	1883:1767
C:3-H:12-N:2-O:1-X:2	O:C	43:5280	1887:1717
Ir:1-K:2-X:6	Cl:Br	435:9372	1951:1978
W:1-X:2	O:Cl:Se:N:S	342:915:7445:4941:787	1834:1793:1827:1895:1711
W:1-X:3	O:Se:S:Br	347:7480:1233:5180	1960:1912:1902:1948
W:1-X:4	Al:O:Cl	7469:2441:1003	1899:1933:1717
W:1-X:5	Cl:Br	6506:5148	1963:1768
W:1-X:6	F:Cl	6755:996	1815:1807
Cd:1-H:4-O:10-S:2-X:2	Na:K	6156:11007	1745:1975
C:6-H:10-X:1	O:S	6400:3838	1974:1726
C:6-H:10-X:2	C:Cl:N:O	6709:10026:5509:3697	1992:1888:1928:1942
C:12-H:15-N:1-O:2-X:2	O:H	3860:2825	1701:1795
C:6-H:10-X:4	H:I:O	6198:6401:1533	1733:1839:1962
C:7-H:5-Na:1-O:1-X:2	O:H	5729:7310	1952:1949
C:12-H:14-N:4-O:4-X:4	O:C	4899:7631	1747:1807
Br:1-N:1-X:1	O:C	7703:1375	1803:1895
C:3-X:8	H:Cl	9551:5075	1772:1887
C:6-H:10-X:6	C:O	4747:2415	1787:1886
C:5-H:13-Br:2-X:1	N:P	7057:7684	1870:1933
C:14-H:14-N:2-X:1	C:O:S	10634:11228:5528	1832:1816:1757
C:6-H:10-X:8	C:O	2267:287	1726:1714
C:14-H:14-N:2-X:2	H:N	7080:4672	1905:1880
C:6-H:3-Cl:1-N:2-X:2	H:Cl:Br	10166:10766:10728	1803:1797:1887
C:4-H:10-O:1-S:2-X:1	O:C	2920:4015	1899:1876
C:5-H:9-O:2-X:1	K:Cl:Na:H:Br	8504:7083:8505:1956:2584	1716:1732:1736:1867:1922
C:7-H:18-X:1	Sn:C	8494:4836	1927:1857
C:8-H:11-Br:1-X:6	H:C	6264:11164	1726:1840
O:6-S:3-X:1	Ba:Fe:S:Zn	3503:3725:3130:3494	1967:1715:1793:1799
C:9-H:13-N:1-O:3-X:1	S:C	10149:8079	1728:1861
O:6-S:3-X:2	H:Na:S:K	1939:4757:4239:2882	1980:1890:1893:1733
C:9-H:13-N:1-O:3-X:2	H:C	8556:5954	1785:1775
Ba:1-H:4-O:4-P:2-X:2	N:O	9123:4157	1993:1942
N:2-O:5-X:2	Ni:Cd:Zn	8635:8788:8754	1897:1880:1825
C:6-H:4-Br:2-N:2-X:2	I:Br	10743:10733	1760:1975
C:11-H:14-X:1	O:C	7000:2934	1740:1982
H:28-N:10-O:16-Pt:2-X:2	N:P	10920:9830	1733:1722
Br:2-H:2-O:7-X:1	Ba:Pb:Sr:Cd:Ca	1186:3045:3044:3326:3047	1951:1894:1812:1788:1858
C:11-H:14-X:2	O:H	8067:9235	1837:1956
C:11-H:14-X:3	O:C	6719:8532	1920:1784
C:17-H:18-N:1-O:4-X:1	N:H	7011:2572	1724:1739
H:24-I:9-Na:3-O:12-X:2	Sb:Bi	7545:7540	1709:1921
C:10-H:11-N:1-X:2	C:N	8489:9649	1817:1986
C:5-H:5-N:1-O:2-S:1-X:2	C:H	5305:9581	1832:1814
C:10-H:11-N:1-X:3	C:O	5107:4668	1999:1815
C:3-H:9-I:1-X:1	Sn:Te:S:C	7314:9694:9663:5893	1738:1796:1952:1876
C:10-H:11-N:1-X:4	H:O:C	5134:7360:2465	1764:1857:1999
C:3-H:3-N:1-O:3-X:2	H:N:O	2273:1400:9220	1975:1759:1707
Cu:1-F:6-H:8-O:4-X:1	Si:Sn:Ti	7203:7233:1032	1800:1724:1972
C:4-H:8-O:7-X:1	C:Cu	11090:3814	1849:1972
V:1-X:1	N:O	1771:8596	1844:1707
C:6-H:8-N:2-O:2-X:1	C:O	6424:4238	1915:1865
Ba:1-H:2-O:7-X:2	Br:Cl:I	1186:3484:444	1951:1969:1809
C:6-H:8-N:2-O:2-X:2	H:C	9723:5089	1773:1787
C:3-H:3-Ag:1-N:1-O:2-X:3	H:N	5029:4385	1878:1727
Al:1-H:1-O:1-X:1	F:Na:P:W	7853:3776:3986:2383	1994:1900:1868:1902
Cl:1-Cr:1-H:14-N:4-O:5-X:1	S:Cr	9520:9506	1973:1953
C:4-H:2-Br:2-X:4	O:H	7989:8811	1883:1739
C:8-H:5-Cl:2-N:1-O:1-X:2	O:H	2942:8425	1803:1702
Na:2-X:1	Te:O:S:Cl	315:251:220:8638	1961:1778:1887:1966
Na:2-X:2	O:S:C	312:8929:9783	1887:1985:1898
C:8-H:10-O:3-X:1	O:C	6381:4037	1852:1852
C:7-H:10-N:2-O:3-X:2	C:H	7303:420	1998:1717
H:8-N:2-X:1	Se:S	632:228	1943:1782
C:8-H:10-O:3-X:6	C:H	1943:8821	1895:1801
C:6-H:1-Br:3-X:2	O:H	5946:2270	1824:1989
K:2-X:1	O:S:Cl:Se:Te	304:132:8627:630:316	1970:1720:1780:1904:1735
C:9-H:14-X:1	C:O	2555:4884	1786:1807
K:2-X:2	C:O:S	9790:2988:820	1859:1946:1987
C:9-H:14-X:2	N:H	8442:3098	1851:1959
K:2-X:4	O:S	3012:821	1884:1759
C:9-H:9-O:5-X:1	N:H	4041:9247	1704:1870
C:3-N:3-S:3-X:1	Au:Al:Rh:Fe:Ir	9460:485:7529:322:6894	1780:1901:1818:1987:1954
Hg:4-O:4-S:1-X:2	N:O	6924:3948	1996:1746
C:9-H:14-X:6	O:H	5:6201	1847:1793
C:3-H:5-S:3-X:1	H:K	4269:5334	1835:1948
C:13-H:10-X:1	C:O	2267:4735	1726:1928
